timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1300250811094,33,Get client/profiles/48/questions,401,Unauthorized,Client Get 4-3,text,false,93,32
1300250811984,61,Get client/profiles/48/questions/261/answers,401,Unauthorized,Client Get 4-4,text,false,93,60
1300250812893,37,Get client/publisherPLSites,401,Unauthorized,Client Get 4-5,text,false,93,37
1300250813801,37,Get client/channels,401,Unauthorized,Client Get 4-6,text,false,93,37
1300250814710,43,Get client/defaultSettings,401,Unauthorized,Client Get 4-7,text,false,93,43
1300250815618,36,Get client/additionalEmployees,401,Unauthorized,Client Get 4-8,text,false,93,35
1300250816527,38,Get client/projects,401,Unauthorized,Client Get 4-9,text,false,93,38
1300250817436,23,Get client/salesRepresentatives,401,Unauthorized,Client Get 4-10,text,false,93,23
1300250818374,36,Get client/projectManagers,401,Unauthorized,Client Get 4-11,text,false,93,36
1300251140358,74,Get /client/profileQnsAns/464,200,OK,Client Get 4-1,text,true,729,73
1300251141255,90,Get client/profiles,200,OK,Client Get 4-2,text,true,9216,90
1300251142164,52,Get client/profiles/48/questions,500,Internal Server Error,Client Get 4-3,text,false,0,52
1300251143073,48,Get client/profiles/48/questions/261/answers,500,Internal Server Error,Client Get 4-4,text,false,0,48
1300251143982,44,Get client/publisherPLSites,200,OK,Client Get 4-5,text,true,508,44
1300251144940,36,Get client/channels,200,OK,Client Get 4-6,text,true,612,36
1300251145799,29,Get client/defaultSettings,200,OK,Client Get 4-7,text,true,176,28
1300251146707,47,Get client/additionalEmployees,200,OK,Client Get 4-8,text,true,64,47
1300251147616,97,Get client/projects,200,OK,Client Get 4-9,text,true,48032,79
1300251148525,33,Get client/salesRepresentatives,422,Unprocessable Entity,Client Get 4-10,text,false,65,33
1300251149464,151,Get client/projectManagers,200,OK,Client Get 4-11,text,true,56,151
1300279687316,37,Get /client/profileQnsAns/464,200,OK,Client Get 4-1,text,true,729,37
1300279688212,50,Get client/profiles,200,OK,Client Get 4-2,text,true,8193,50
1300279689121,52,Get client/profiles/48/questions,500,Internal Server Error,Client Get 4-3,text,false,0,52
1300279690030,62,Get client/profiles/48/questions/261/answers,500,Internal Server Error,Client Get 4-4,text,false,0,62
1300279690939,44,Get client/publisherPLSites,200,OK,Client Get 4-5,text,true,508,44
1300279692010,26,Get client/channels,200,OK,Client Get 4-6,text,true,612,26
1300279692784,126,Get client/defaultSettings,200,OK,Client Get 4-7,text,true,176,125
1300279693720,33,Get client/additionalEmployees,200,OK,Client Get 4-8,text,true,206,33
1300279694605,93,Get client/projects,200,OK,Client Get 4-9,text,true,48614,89
1300279695515,33,Get client/salesRepresentatives,200,OK,Client Get 4-10,text,true,74,33
1300279696453,25,Get client/projectManagers,200,OK,Client Get 4-11,text,true,119,24
1300338595517,41,Get /client/profileQnsAns/464,200,OK,Client Get 4-1,text,true,729,41
1300338596408,79,Get client/profiles,200,OK,Client Get 4-2,text,true,9336,79
1300338597317,63,Get client/profiles/48/questions,500,Internal Server Error,Client Get 4-3,text,false,0,63
1300338598225,39,Get client/profiles/48/questions/261/answers,500,Internal Server Error,Client Get 4-4,text,false,0,39
1300338599134,35,Get client/publisherPLSites,200,OK,Client Get 4-5,text,true,508,35
1300338600043,33,Get client/channels,200,OK,Client Get 4-6,text,true,612,33
1300338600952,31,Get client/defaultSettings,200,OK,Client Get 4-7,text,true,176,31
1300338601860,51,Get client/additionalEmployees,200,OK,Client Get 4-8,text,true,206,51
1300338602769,108,Get client/projects,200,OK,Client Get 4-9,text,true,49318,97
1300338603678,46,Get client/salesRepresentatives,200,OK,Client Get 4-10,text,true,74,46
